<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20200103,140000,261.5400000,261.8200000,260.9400000,261.1800000,2201500
GAZP,60,20200103,150000,261.2000000,261.5700000,259.4300000,259.6900000,3036390
GAZP,60,20200103,160000,259.6300000,259.6300000,258.3600000,258.7300000,3007220
GAZP,60,20200103,170000,258.7200000,259.0800000,258.4700000,258.6600000,1997400
GAZP,60,20200103,180000,258.6600000,259.5500000,257.7700000,259.5000000,2858420
GAZP,60,20200103,190000,259.4500000,259.5500000,258.5000000,259.0000000,5309570
GAZP,60,20200106,110000,258.9100000,258.9600000,256.0000000,256.5700000,6421480
GAZP,60,20200106,120000,256.6600000,257.5600000,256.0100000,256.1600000,4017600
GAZP,60,20200106,130000,256.1100000,256.4400000,255.4200000,256.0500000,3490460
GAZP,60,20200106,140000,256.0600000,256.2300000,255.6700000,255.8100000,1121000
GAZP,60,20200106,150000,255.8700000,256.4300000,255.5500000,256.1100000,1243520
GAZP,60,20200106,160000,256.1500000,256.1500000,255.0100000,255.0500000,2867200
GAZP,60,20200106,170000,255.0800000,255.3000000,254.8000000,255.2000000,2440280
GAZP,60,20200106,180000,255.1700000,255.9900000,254.9500000,255.6900000,2536080
GAZP,60,20200106,190000,255.7100000,256.5500000,255.6700000,256.5500000,3969090
GAZP,60,20200108,110000,256.2500000,257.3200000,254.7700000,256.2000000,4516330
GAZP,60,20200108,120000,256.1700000,256.4000000,255.3000000,255.5100000,3516450
GAZP,60,20200108,130000,255.3900000,256.0800000,255.1600000,255.2600000,3293450
GAZP,60,20200108,140000,255.2600000,256.1100000,255.1800000,255.5900000,1843590
GAZP,60,20200108,150000,255.6100000,255.7000000,255.0400000,255.1000000,2977660
GAZP,60,20200108,160000,255.1300000,255.7300000,255.0600000,255.2900000,1424330
GAZP,60,20200108,170000,255.2900000,255.6000000,255.0800000,255.3200000,1797120
GAZP,60,20200108,180000,255.3200000,255.9500000,255.1700000,255.5900000,2545830
GAZP,60,20200108,190000,255.5900000,255.7900000,255.2500000,255.7900000,3652210
GAZP,60,20200109,110000,255.6600000,256.6800000,255.3300000,256.2000000,3230590
GAZP,60,20200109,120000,256.2000000,256.2000000,253.8000000,254.0100000,6570010
GAZP,60,20200109,130000,254.0100000,254.1400000,251.8200000,254.0900000,7623170
GAZP,60,20200109,140000,254.0700000,254.3400000,253.2900000,253.4100000,2076710
GAZP,60,20200109,150000,253.4500000,254.6800000,253.3900000,254.6300000,1786120
GAZP,60,20200109,160000,254.6300000,254.9300000,253.9400000,254.1700000,2684250
GAZP,60,20200109,170000,254.1700000,254.4300000,253.6600000,254.2700000,1776810
GAZP,60,20200109,180000,254.2200000,254.7300000,253.8100000,254.0300000,3462140
GAZP,60,20200109,190000,254.0400000,254.6500000,253.8100000,254.0700000,3985030
GAZP,60,20200110,110000,253.9900000,254.3500000,252.7100000,253.3900000,2618690
GAZP,60,20200110,120000,253.2800000,253.7200000,252.4200000,253.2300000,2780400
GAZP,60,20200110,130000,253.1900000,254.6000000,253.0100000,254.0000000,4304190
GAZP,60,20200110,140000,254.0000000,254.0000000,252.8600000,253.0000000,1764940
GAZP,60,20200110,150000,253.0200000,253.3900000,252.7200000,253.0400000,2314150
GAZP,60,20200110,160000,253.0200000,253.1500000,252.7200000,252.8000000,1728570
GAZP,60,20200110,170000,252.8000000,252.8400000,251.8700000,252.5400000,4249610
GAZP,60,20200110,180000,252.5900000,252.6500000,251.7100000,251.8000000,3610320
GAZP,60,20200110,190000,251.7600000,252.1300000,251.2000000,251.9000000,5174720
GAZP,60,20200113,110000,252.5000000,252.5000000,250.7700000,250.8300000,4479690
GAZP,60,20200113,120000,250.8000000,250.9400000,248.4000000,249.6600000,10987610
GAZP,60,20200113,130000,249.6600000,250.7900000,249.3500000,250.0500000,2868920
GAZP,60,20200113,140000,250.0500000,250.2400000,248.5700000,248.7800000,4544190
GAZP,60,20200113,150000,248.8000000,249.4100000,248.5900000,248.6200000,3805670
GAZP,60,20200113,160000,248.6100000,249.9600000,248.5500000,249.3400000,2242460
GAZP,60,20200113,170000,249.3300000,249.9800000,249.0000000,249.7900000,2298540
GAZP,60,20200113,180000,249.8000000,250.4400000,249.6600000,250.2600000,3798300
GAZP,60,20200113,190000,250.2600000,251.5000000,249.9300000,251.5000000,6309200
GAZP,60,20200114,110000,252.0000000,253.2000000,251.2200000,253.0300000,4682130
GAZP,60,20200114,120000,253.0300000,253.1800000,250.5600000,251.2200000,4611230
GAZP,60,20200114,130000,251.2100000,251.7400000,250.9100000,251.5000000,1489970
GAZP,60,20200114,140000,251.4700000,251.6600000,250.8600000,251.3400000,2371350
GAZP,60,20200114,150000,251.2800000,251.3400000,250.0500000,250.7900000,4674320
GAZP,60,20200114,160000,250.8000000,250.9500000,249.1300000,249.3800000,4662210
GAZP,60,20200114,170000,249.3500000,250.1000000,249.0000000,249.9600000,3143160
GAZP,60,20200114,180000,249.9800000,250.7000000,249.7200000,250.2200000,3047570
GAZP,60,20200114,190000,250.2200000,250.9800000,249.9800000,250.0000000,4184710
GAZP,60,20200115,110000,249.5000000,249.8700000,248.7100000,249.3300000,2577200
GAZP,60,20200115,120000,249.2400000,251.2500000,248.3300000,250.9400000,6716020
GAZP,60,20200115,130000,250.9000000,251.5000000,250.0000000,250.0700000,2653990
GAZP,60,20200115,140000,250.0500000,250.4800000,249.2000000,249.2900000,1872600
GAZP,60,20200115,150000,249.2900000,250.4300000,249.0600000,249.4400000,2210210
GAZP,60,20200115,160000,249.4000000,249.9500000,249.2000000,249.5100000,1022890
GAZP,60,20200115,170000,249.4800000,251.0000000,247.7500000,249.8900000,12137930
GAZP,60,20200115,180000,249.9600000,252.5000000,249.1300000,251.9500000,10532910
GAZP,60,20200115,190000,251.9200000,252.0000000,250.7100000,251.3000000,4212430
GAZP,60,20200116,110000,251.8700000,254.4000000,251.5000000,253.4800000,7351750
GAZP,60,20200116,120000,253.4100000,253.9800000,252.8200000,253.6800000,5074040
GAZP,60,20200116,130000,253.6300000,253.8000000,252.3000000,252.9000000,4733320
GAZP,60,20200116,140000,252.9000000,254.3000000,252.6000000,254.0600000,3453780
GAZP,60,20200116,150000,254.1000000,254.3900000,253.2500000,253.4000000,2127800
GAZP,60,20200116,160000,253.4300000,254.2400000,253.2700000,253.7900000,1621500
GAZP,60,20200116,170000,253.8000000,254.5000000,253.4400000,254.0700000,5479510
